province,Man,Woman,mean_age
부산중구,48.6,51.6,50.2
부산서구,46.9,49.6,48.3
부산동구,47.4,50.8,49.1
부산영도구,48.2,51.7,50
부산진구,44.2,46.4,45.3
부산동래구,42.8,45.4,44.2
부산남구,43.5,46.3,44.9
부산북구,43.3,45.8,44.6
부산해운대구,42.7,45.3,44.1
부산사하구,43.9,46.4,45.1
부산금정구,44.6,47.5,46.1
부산강서구,38.3,39.2,38.7
부산연제구,43.5,45.9,44.7
부산수영구,44.6,47.1,45.9
부산사상구,44.4,46.6,45.5
부산기장군,40.2,42.7,41.5
대구중구 ,43.5,46.3,44.9
대구동구 ,43.4,46.5,45
대구서구 ,46.4,50,48.2
대구남구 ,45.9,49.2,47.6
대구북구 ,40.9,43.5,42.2
대구수성구 ,41.1,44.1,42.6
대구달서구 ,41.2,43.7,42.5
대구달성군 ,39.3,41.3,40.3
서울종로구 ,44.5,45.9,45.2
서울중구 ,44.8,46.2,45.5
서울용산구 ,43.3,45.2,44.3
서울성동구 ,42.2,43.7,42.9
서울광진구 ,41.8,42.9,42.4
서울동대문구 ,43.2,44.8,44
서울중랑구 ,43.9,45.5,44.7
서울성북구 ,42.3,44.1,43.3
서울강북구 ,44.9,47.2,46.1
서울도봉구 ,44.2,46.4,45.3
서울노원구 ,41.8,44.5,43.2
서울은평구 ,43.1,45,44.1
서울서대문구 ,42.5,44.4,43.5
서울마포구 ,41.2,42.6,41.9
서울양천구 ,41.2,43,42.1
서울강서구 ,41.7,43.3,42.5
서울구로구 ,42.8,44.3,43.6
서울금천구 ,43.6,45.2,44.4
서울영등포구 ,42.4,43.6,43
서울동작구 ,42.1,43.9,43
서울관악구 ,41.7,43.3,42.5
서울서초구 ,40.6,41.9,41.3
서울강남구 ,40.6,42,41.3
서울송파구 ,41,42.2,41.7
서울강동구 ,41.7,43.4,42.6
인천중구 ,41,42.3,41.6
인천동구 ,45.4,48.7,47
인천미추홀구 ,42.8,45.2,44
인천연수구 ,38.6,40,39.3
인천남동구 ,40.9,42.9,41.9
인천부평구 ,42,44.2,43.1
인천계양구 ,41.9,43.8,42.8
인천서구 ,39.4,40.7,40.1
인천강화군 ,51.1,54.4,52.8
인천옹진군 ,47.3,53,49.8
광주동구 ,44.1,46.7,45.4
광주서구 ,40.4,42.9,41.7
광주남구 ,41.6,44.2,42.9
광주북구 ,40.8,43.3,42.1
광주광산구 ,37.3,39.1,38.2
대전동구 ,43.3,45.8,44.5
대전중구 ,43.6,45.9,44.7
대전서구 ,39.8,41.7,40.8
대전유성구 ,37.6,39.4,38.5
대전대덕구 ,42.5,44.9,43.7
울산중구 ,42,44.5,43.2
울산남구 ,40.8,42.7,41.7
울산동구 ,40.4,42,41.2
울산북구 ,37.5,38.8,38.1
울산울주군 ,41.9,43.9,42.8
경기수원시 ,39.2,41,40.1
경기성남시 ,41.3,43,42.1
경기의정부시 ,41.7,43.9,42.8
경기안양시 ,41.2,43.2,42.2
경기부천시 ,41.6,43.5,42.6
경기광명시 ,40.8,43,42
경기평택시 ,39.7,41.6,40.6
경기동두천시 ,44.1,47,45.6
경기안산시 ,40.5,42,41.2
경기고양시 ,41.1,43,42.1
경기과천시 ,40.7,43.3,42
경기구리시 ,41.3,43,42.2
경기남양주시 ,40.6,42.3,41.4
경기오산시 ,37.7,39,38.3
경기시흥시 ,38.9,39.9,39.4
경기군포시 ,40.9,42.9,41.9
경기의왕시 ,41.1,43.1,42.1
경기하남시 ,39.9,41.2,40.5
경기용인시 ,39.6,41.2,40.4
