"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","정책사업예산총계","행정운영경비총계","재무활동총계","정책사업예산순계","재무활동순계","행정운영경비순계"
"2020","서울","1100000","서울본청","010","일반공공행정","011","입법및선거관리","25882111000","0","0","25882111000","0","0"
"2020","서울","1100000","서울본청","010","일반공공행정","013","지방행정ㆍ재정지원","5151138568000","0","0","0","0","0"
"2020","서울","1100000","서울본청","010","일반공공행정","014","재정ㆍ금융","204705102000","134832893000","0","204705102000","9432893000","0"
"2020","서울","1100000","서울본청","010","일반공공행정","016","일반행정","816360244000","22462618000","0","719014738000","22462618000","0"
"2020","서울","1100000","서울본청","020","공공질서및안전","023","경찰","1415399000","0","0","1415399000","0","0"
"2020","서울","1100000","서울본청","020","공공질서및안전","025","재난방재ㆍ민방위","44859754000","135920000000","0","35166311000","135920000000","0"
"2020","서울","1100000","서울본청","020","공공질서및안전","026","소방","0","861693964000","0","0","0","0"
"2020","서울","1100000","서울본청","050","교육","051","유아및초중등교육","3667214470000","0","0","3637350721000","0","0"
"2020","서울","1100000","서울본청","050","교육","053","평생ㆍ직업교육","16748911000","0","0","16439311000","0","0"
"2020","서울","1100000","서울본청","060","문화및관광","061","문화예술","276656901000","0","0","239760187000","0","0"
"2020","서울","1100000","서울본청","060","문화및관광","062","관광","78865937000","0","0","76728937000","0","0"
"2020","서울","1100000","서울본청","060","문화및관광","063","체육","148589001000","8618793000","0","125659734000","8618793000","0"
"2020","서울","1100000","서울본청","060","문화및관광","064","문화재","68453750000","0","0","45960520000","0","0"
"2020","서울","1100000","서울본청","060","문화및관광","065","문화및관광일반","53534998000","0","0","52904998000","0","0"
"2020","서울","1100000","서울본청","070","환경","071","상하수도ㆍ수질","16521813000","0","0","13996423000","0","0"
"2020","서울","1100000","서울본청","070","환경","072","폐기물","137481218000","24230424000","0","97691826000","24230424000","0"
"2020","서울","1100000","서울본청","070","환경","073","대기","534011106000","3538431000","0","516666932000","3538431000","0"
"2020","서울","1100000","서울본청","070","환경","074","자연","71032802000","0","0","63762860000","0","0"
"2020","서울","1100000","서울본청","070","환경","076","환경보호일반","111663068000","0","0","102930132000","0","0"
