,Name,per_health_budget,no_weekend,yes_weekend,Age,population_density,aged_ratio,smoking_rate,drink_ratio,per_medical_facilities,per_medical_staff,deceased
0,서울종로구,56731,1,1,45.2,6347,18.9,17.9,57.9,0.006707582,0.032071475,11
1,서울중구,67355,0,3,45.5,12692,19.1,17.5,54.4,0.003291798,0.017157492,3
2,서울용산구,40204,0,1,44.3,10476,17.2,11.3,55,0.001209538,0.00485562,6
3,서울성동구,39650,1,1,42.9,17846,15.3,19.2,60.5,0.00166492,0.005378444,10
4,서울광진구,37583,0,1,42.4,20595,14.4,21,59.9,0.002026838,0.005838808,12
5,서울동대문구,39522,1,2,44,24363,17.8,17.5,59.7,0.003759498,0.009628919,12
6,서울중랑구,39497,0,2,44.7,21460,17.4,20.1,57.4,0.001987037,0.00463727,12
7,서울성북구,34362,0,1,43.3,18009,16.7,17.6,59.4,0.001931807,0.005183683,18
8,서울강북구,43579,0,1,46.1,13328,20.4,19.8,57,0.00184821,0.002838088,12
9,서울도봉구,37839,1,1,45.3,16246,18.9,15.7,57.5,0.001802827,0.003384963,8
10,서울노원구,39159,1,1,43.2,15122,16.2,18.8,53.2,0.001871582,0.005755598,18
11,서울은평구,33448,2,2,44.1,16224,17.5,15.1,54.2,0.001453204,0.003001045,17
12,서울서대문구,43085,0,2,43.5,17569,17.1,17.1,56.9,0.003640407,0.01325523,8
13,서울마포구,40784,0,1,41.9,15654,14.4,16.5,63.7,0.000629549,0.002358094,13
14,서울양천구,34612,1,2,42.1,26316,14.3,15.6,62.3,0.001632511,0.005337139,21
15,서울강서구,37685,1,1,42.5,14341,15.1,17.1,57.9,0.001917481,0.003514515,17
16,서울구로구,36941,1,1,43.6,20212,16.9,15.8,58.6,0.00264789,0.006205837,10
17,서울금천구,47299,0,2,44.4,17881,16.8,19,57.2,0.002053567,0.003219575,8
18,서울영등포구,39138,2,1,43,15025,15.9,16.2,61.8,0.003381975,0.009650679,14
19,서울동작구,33505,0,2,43,24218,16.5,15.5,55.4,0.001826461,0.006696164,13
20,서울관악구,27578,0,1,42.5,16990,15.7,17.4,58.2,0.001358208,0.002624645,17
21,서울서초구,43871,1,1,41.3,9182,14,12.3,55.5,0.002769899,0.011174537,19
22,서울강남구,42198,0,2,41.3,13752,13.8,14.6,62.1,0.00568815,0.01984682,15
23,서울송파구,33698,1,2,41.7,19952,13.8,14.5,66.3,0.002976969,0.01056378,14
24,서울강동구,34471,1,1,42.6,17734,15.1,18.5,56.7,0.003101742,0.00756937,17
25,부산중구,89388,0,1,50.2,14956,27,23.6,56.8,0.01056321,0.013681412,0
26,부산서구,85992,3,2,48.3,7847,25.1,18.6,47.9,0.012353101,0.03994326,3
27,부산동구,53948,0,1,49.1,8915,26.1,16.8,53.7,0.008456324,0.014464168,1
28,부산영도구,48625,2,0,50,8357,27.5,21.1,52.4,0.003434762,0.004699257,2
29,부산부산진구,34433,1,4,45.3,12096,19.6,18.5,55.5,0.005010555,0.009389199,6
30,부산동래구,41302,0,1,44.2,16173,18.3,14.7,58,0.005191152,0.007257966,2
31,부산남구,35562,0,1,44.9,10340,19.9,15.9,59.2,0.002852208,0.003649923,3
32,부산북구,36541,1,1,44.6,7528,17.1,17.6,60.8,0.003679249,0.004630106,4
33,부산해운대구,36392,2,1,44.1,7950,17.3,17.3,52.7,0.003666739,0.006508649,0
34,부산사하구,31464,0,1,45.1,7832,18.9,18.6,57.7,0.005295795,0.003685718,3
35,부산금정구,36312,0,1,46.1,3691,20.8,18.2,63.2,0.005615663,0.004210663,1
36,부산강서구,51816,0,1,38.7,702,12,20,61.6,0.000761281,0.00109883,1
37,부산연제구,41553,0,2,44.7,17316,19.1,15.5,57.9,0.004845265,0.005688968,2
38,부산수영구,40160,1,1,45.9,17314,21.1,17.9,51.4,0.006029124,0.007238355,2
39,부산사상구,45795,1,1,45.5,6132,18,18.6,60.3,0.004785754,0.006186924,8
40,부산기장군,70216,0,2,41.5,756,18,17.4,52.6,0.003373926,0.003902167,1
41,대구중구,76212,0,2,44.9,11016,20.6,18.1,58.3,0.014567663,0.047179663,5
42,대구동구,45214,0,1,45,1909,19.6,18.5,53.7,0.002282172,0.004450528,27
43,대구서구,43615,0,1,48.2,10275,22.4,22.7,59.3,0.003836347,0.005235139,49
44,대구남구,51124,1,1,47.6,8506,23.3,18.9,47,0.008184595,0.017102037,19
45,대구북구,37325,0,1,42.2,4665,14.4,17.4,50.8,0.00314578,0.00484984,21
46,대구수성구,31258,0,1,42.6,5658,15.6,14.4,52.9,0.00197039,0.003671122,42
47,대구달서구,36021,4,1,42.5,9161,14.3,19.6,58.6,0.00269589,0.004850436,26
48,대구달성군,105083,0,1,40.3,598,12.7,22,56.9,0.001547148,0.001878129,30
49,인천중구,63750,1,2,41.6,937,14.6,18.3,59.4,0.003380585,0.010421676,0
50,인천동구,95400,0,3,47,9178,22.8,21.5,53.4,0.003222411,0.007351631,5
51,인천미추홀구,38136,0,1,44,16573,17,26.1,58.9,0.003285705,0.004250634,7
52,인천연수구,37964,0,1,39.3,6551,9.8,17.7,61.6,0.001229266,0.002143532,5
53,인천남동구,38339,0,1,41.9,9385,13.4,19.1,56.8,0.002925123,0.006479655,12
54,인천부평구,40043,1,2,43.1,16117,14.7,21,56.5,0.002509311,0.005755337,10
55,인천계양구,41505,0,2,42.8,6714,12.6,19.8,58.9,0.003184273,0.004761247,10
56,인천서구,35040,0,6,40.1,4646,10.6,16.5,59.5,0.002268136,0.004273568,1
57,인천강화군,162445,0,2,52.8,168,32.9,18.3,44.4,0.003347438,0.003188036,3
58,인천옹진군,306472,0,2,49.8,120,26.6,26,55.1,0.000688468,0.002950578,0
59,광주동구,94001,1,2,45.4,1983,21.6,17.9,54.3,0.014141138,0.024300507,1
60,광주서구,41063,0,1,41.7,6312,14.2,17.8,61.3,0.006209894,0.006308303,3
61,광주남구,57607,1,1,42.9,3577,17.5,18.4,51.3,0.007587381,0.008420028,0
62,광주북구,35216,0,2,42.1,3618,14.9,16.8,58.4,0.007106611,0.005612197,6
63,광주광산구,39037,0,3,38.2,1826,9.4,21.5,59.8,0.00587002,0.006240446,8
64,대전동구,49714,0,1,44.5,1674,18.9,18.3,56.7,0.003275622,0.003195074,3
65,대전중구,45339,2,2,44.7,3897,19.2,19.1,55.6,0.005663503,0.012371522,1
66,대전서구,42982,1,1,40.8,5047,12.6,17.8,57.5,0.004448322,0.00771519,7
67,대전유성구,52570,1,1,38.5,1979,9.5,15.9,53.6,0.002850321,0.003504353,1
68,대전대덕구,39255,2,1,43.7,2600,15.7,21.8,58.1,0.003924316,0.00481284,3
69,울산중구,49653,2,0,43.2,6224,15,17.6,61.4,0.002749958,0.005290882,5
70,울산남구,43479,2,0,41.7,4461,12.1,17,63.6,0.004653225,0.006347879,29
71,울산동구,49629,2,0,41.2,4493,12.5,24.4,65.1,0.003781629,0.008905125,2
72,울산북구,39511,1,0,38.1,1368,8.1,18.6,64.7,0.001693511,0.002329722,0
