province,sub_province,고령인구비율
서울,종로구,18.9
서울,중구,19.1
서울,용산구,17.2
서울,성동구,15.3
서울,광진구,14.4
서울,동대문구,17.8
서울,중랑구,17.4
서울,성북구,16.7
서울,강북구,20.4
서울,도봉구,18.9
서울,노원구,16.2
서울,은평구,17.5
서울,서대문구,17.1
서울,마포구,14.4
서울,양천구,14.3
서울,강서구,15.1
서울,구로구,16.9
서울,금천구,16.8
서울,영등포구,15.9
서울,동작구,16.5
서울,관악구,15.7
서울,서초구,14
서울,강남구,13.8
서울,송파구,13.8
서울,강동구,15.1
부산,중구,27
부산,서구,25.1
부산,동구,26.1
부산,영도구,27.5
부산,부산진구,19.6
부산,동래구,18.3
부산,남구,19.9
부산,북구,17.1
부산,해운대구,17.3
부산,사하구,18.9
부산,금정구,20.8
부산,강서구,12
부산,연제구,19.1
부산,수영구,21.1
부산,사상구,18
대구,중구,20.6
대구,동구,19.6
대구,서구,22.4
대구,남구,23.3
대구,북구,14.4
대구,수성구,15.6
대구,달서구,14.3
대구,달성군,12.7
인천,중구,14.6
인천,동구,22.8
인천,연수구,9.8
인천,남동구,13.4
인천,부평구,14.7
인천,계양구,12.6
인천,서구,10.6
인천,미추홀구,17
인천,강화군,32.9
인천,옹진군,26.6
광주,동구,21.6
광주,서구,14.2
광주,남구,17.5
광주,북구,14.9
광주,광산구,9.4
대전,소계,14.2
대전,동구,18.9
대전,중구,19.2
대전,서구,12.6
대전,유성구,9.5
대전,대덕구,15.7
울산,소계,12.4
울산,중구,15
울산,남구,12.1
울산,동구,12.5
울산,북구,8.1
울산,울주군,14.7
경기,수원시,11
경기,성남시,14.1
경기,의정부시,15.1
경기,안양시,13.6
경기,부천시,13.5
경기,광명시,13.9
경기,평택시,12.4
경기,동두천시,20.4
경기,안산시,10.8
경기,고양시,13.4
경기,과천시,14.2
경기,구리시,13.5
경기,남양주시,14
경기,오산시,9.5
경기,시흥시,9.2
경기,군포시,13.1
경기,의왕시,13.5
경기,하남시,12.8
경기,용인시,13.2
경기,파주시,13.9
경기,이천시,14.1
경기,안성시,17.4
경기,김포시,12.3
경기,화성시,8.8
경기,광주시,13.2
경기,양주시,15.6
경기,포천시,19.7
경기,여주시,21.8
경기,연천군,26.3
경기,가평군,25.9
경기,양평군,25.5
강원,춘천시,17.7
강원,원주시,15
강원,강릉시,21.2
강원,동해시,20.1
강원,태백시,25
강원,속초시,19.1
강원,삼척시,25.2
강원,홍천군,26
강원,횡성군,29.2
강원,영월군,29.5
강원,평창군,28.2
강원,정선군,27.8
강원,철원군,22.7
강원,화천군,22.4
강원,양구군,20.9
강원,인제군,20.6
강원,고성군,29.6
충북,충주시,19.8
충북,제천시,21.8
충북,청주시,13.3
충북,보은군,34.4
충북,옥천군,29.7
충북,영동군,31.5
충북,진천군,16.4
충북,괴산군,34.4
충북,음성군,21.2
충북,단양군,30.7
충북,증평군,17.2
충남,천안시,10.9
충남,공주시,26.3
충남,보령시,26
충남,아산시,13.3
충남,서산시,18.4
충남,논산시,26.5
충남,계룡시,11.8
충남,당진시,18.7
충남,금산군,31.1
충남,부여군,34.5
충남,서천군,36.5
충남,청양군,35.8
충남,홍성군,23.9
충남,예산군,31.3
충남,태안군,30.9
전북,전주시,14.9
전북,군산시,18.8
전북,익산시,19.7
전북,정읍시,27.7
전북,남원시,28
전북,김제시,31.7
전북,완주군,23.2
전북,진안군,34.8
전북,무주군,33.4
전북,장수군,34
전북,임실군,36.2
전북,순창군,33.9
전북,고창군,34.3
전북,부안군,33.1
전남,목포시,16.7
전남,여수시,19.3
전남,순천시,15.6
전남,나주시,22.5
전남,광양시,13.2
전남,담양군,31.3
전남,곡성군,36.2
전남,구례군,34.6
전남,고흥군,41
전남,보성군,38.5
전남,화순군,26.7
전남,장흥군,34.1
전남,강진군,34.6
전남,해남군,32.2
전남,영암군,26.6
전남,무안군,20.5
전남,함평군,36.4
전남,영광군,29.1
전남,장성군,30
전남,완도군,32.4
전남,진도군,33.9
전남,신안군,36.5
경북,포항시,17.3
경북,경주시,22.4
경북,김천시,23
경북,안동시,24.6
경북,구미시,9.5
경북,영주시,27.1
경북,영천시,28.2
경북,상주시,31.2
경북,문경시,30.1
경북,경산시,16.8
경북,군위군,40.3
경북,의성군,41.3
경북,청송군,37.2
경북,영양군,37.5
경북,영덕군,37.5
경북,청도군,37.8
경북,고령군,31.4
경북,성주군,32.2
경북,칠곡군,15.8
경북,예천군,30.3
경북,봉화군,36.5
경북,울진군,27.9
경북,울릉군,25.9
경남,진주시,16.8
경남,통영시,19.4
경남,사천시,21.9
경남,김해시,11.3
경남,밀양시,28.3
경남,거제시,10.8
경남,양산시,13.6
경남,창원시,14.4
경남,의령군,36.9
경남,함안군,24.8
경남,창녕군,30.9
경남,고성군,31.1
경남,남해군,37.9
경남,하동군,34.3
경남,산청군,36.6
경남,함양군,33.6
경남,거창군,27.7
경남,합천군,39.4
