province,population ,pop_density 
강원 강릉시,"213,355",205
강원 고성군,"27,398",41
강원 동해시,"90,537",502
강원 삼척시,"67,746",57
강원 속초시,"81,749",773
강원 양구군,"23,185",33
강원 양양군,"27,643",44
강원 영월군,"39,225",35
강원 원주시,"347,506",400
강원 인제군,"31,759",19
강원 정선군,"37,362",31
강원 철원군,"45,602",51
강원 춘천시,"280,407",251
강원 태백시,"44,146",145
강원 평창군,"42,315",29
강원 홍천군,"69,340",38
강원 화천군,"24,764",27
강원 횡성군,"46,761",47
경기 가평군,"62,826",74
경기 고양시,"1,055,873","3,938"
경기 과천시,"58,036","1,618"
경기 광명시,"319,899","8,305"
경기 광주시,"368,999",856
경기 구리시,"200,205","6,010"
경기 군포시,"274,495","7,539"
경기 김포시,"433,777","1,568"
경기 남양주시,"709,881","1,522"
경기 동두천시,"95,010",993
경기 부천시,"834,276","15,611"
경기 성남시,"945,546","6,675"
경기 수원시,"1,195,318","9,875"
경기 시흥시,"466,962","3,439"
경기 안산시,"655,898","4,253"
경기 안성시,"184,276",333
경기 안양시,"571,233","9,765"
경기 양주시,"221,263",713
경기 양평군,"117,034",133
경기 여주시,"111,095",183
경기 연천군,"43,994",65
경기 오산시,"221,669","5,186"
경기 용인시,"1,054,989","1,784"
경기 의왕시,"159,720","2,958"
경기 의정부시,"451,843","5,541"
경기 이천시,"216,227",469
경기 파주시,"453,898",675
경기 평택시,"511,229","1,112"
경기 포천시,"149,042",180
경기 하남시,"268,186","2,883"
경기 화성시,"811,778","1,152"
경남 거제시,"248,581",617
경남 거창군,"62,343",78
경남 고성군,"52,602",102
경남 김해시,"541,807","1,168"
경남 남해군,"43,909",123
경남 밀양시,"105,908",133
경남 사천시,"112,422",282
경남 산청군,"35,527",45
경남 양산시,"349,500",720
경남 의령군,"27,322",57
경남 진주시,"347,366",487
경남 창녕군,"62,470",117
경남 창원시,"1,047,210","1,401"
경남 통영시,"132,021",551
경남 하동군,"46,886",69
경남 함안군,"66,022",158
경남 함양군,"39,800",55
경남 합천군,"45,458",46
경북 경산시,"262,510",638
경북 경주시,"255,674",193
경북 고령군,"32,554",85
경북 구미시,"420,399",682
경북 군위군,"23,647",38
경북 김천시,"141,380",140
경북 문경시,"72,073",79
경북 봉화군,"32,423",27
경북 상주시,"99,637",79
경북 성주군,"43,968",71
경북 안동시,"160,125",105
경북 영덕군,"37,598",51
경북 영양군,"17,065",21
경북 영주시,"105,519",158
경북 영천시,"101,958",111
경북 예천군,"54,810",83
경북 울릉군,"9,780",134
경북 울진군,"49,526",50
경북 의성군,"52,583",45
경북 청도군,"42,962",62
경북 청송군,"25,477",30
경북 칠곡군,"117,740",261
경북 포항시,"508,249",450
광주 광산구,"406,893","1,826"
광주 남구,"218,143","3,577"
광주 동구,"97,798","1,983"
광주 북구,"435,251","3,618"
광주 서구,"301,353","6,312"
대구 남구,"148,211","8,506"
대구 달서구,"571,076","9,161"
대구 달성군,"255,020",598
대구 동구,"347,700","1,909"
대구 북구,"439,421","4,665"
대구 서구,"178,067","10,275"
대구 수성구,"429,480","5,658"
대구 중구,"77,770","11,016"
대전 대덕구,"178,588","2,600"
대전 동구,"228,804","1,674"
대전 서구,"481,893","5,047"
대전 유성구,"349,079","1,979"
대전 중구,"242,156","3,897"
부산 강서구,"127,422",702
부산 금정구,"240,880","3,691"
부산 기장군,"164,989",756
부산 남구,"277,205","10,340"
부산 동구,"86,939","8,915"
부산 동래구,"268,956","16,173"
부산 부산진구,"359,010","12,096"
부산 북구,"291,787","7,528"
부산 사상구,"220,374","6,132"
부산 사하구,"323,430","7,832"
부산 서구,"109,131","7,847"
부산 수영구,"176,777","17,314"
부산 연제구,"209,529","17,316"
부산 영도구,"117,978","8,357"
부산 중구,"42,175","14,956"
부산 해운대구,"406,627","7,950"
서울 강남구,"543,222","13,752"
서울 강동구,"436,067","17,734"
서울 강북구,"314,538","13,328"
서울 강서구,"594,299","14,341"
서울 관악구,"502,393","16,990"
서울 광진구,"351,350","20,595"
서울 구로구,"406,664","20,212"
서울 금천구,"232,810","17,881"
서울 노원구,"535,920","15,122"
서울 도봉구,"335,801","16,246"
서울 동대문구,"346,194","24,363"
서울 동작구,"395,963","24,218"
서울 마포구,"373,200","15,654"
서울 서대문구,"309,397","17,569"
서울 서초구,"431,353","9,182"
서울 성동구,"300,889","17,846"
서울 성북구,"442,650","18,009"
서울 송파구,"675,961","19,952"
서울 양천구,"458,165","26,316"
서울 영등포구,"368,566","15,025"
서울 용산구,"229,117","10,476"
서울 은평구,"481,856","16,224"
서울 종로구,"151,766","6,347"
서울 중구,"126,412","12,692"
서울 중랑구,"397,015","21,460"
울산 남구,"325,174","4,461"
울산 동구,"161,017","4,493"
울산 북구,"215,276","1,368"
울산 울주군,"223,170",295
울산 중구,"225,657","6,224"
인천 강화군,"69,153",168
인천 계양구,"305,957","6,714"
인천 남동구,"534,056","9,385"
인천 동구,"64,875","9,178"
인천 미추홀구,"411,678","16,573"
인천 부평구,"515,759","16,117"
인천 서구,"543,108","4,646"
인천 연수구,"359,955","6,551"
인천 옹진군,"20,696",120
인천 중구,131385,937
전남 강진군,"35,504",71
전남 고흥군,"65,234",81
전남 곡성군,"29,208",53
전남 광양시,"151,542",327
전남 구례군,"26,151",59
전남 나주시,"114,495",188
전남 담양군,"46,222",102
전남 목포시,"230,214","4,491"
전남 무안군,"81,301",181
전남 보성군,"41,897",63
전남 순천시,"280,886",308
전남 신안군,"40,791",62
전남 여수시,"282,357",554
전남 영광군,"53,914",114
전남 영암군,"54,535",90
전남 완도군,"51,023",129
전남 장성군,"45,466",88
전남 장흥군,"38,780",62
전남 진도군,"30,877",70
전남 함평군,"32,988",84
전남 해남군,"70,812",70
전남 화순군,"62,896",80
전북 고창군,"56,009",92
전북 군산시,"271,081",684
전북 김제시,"84,355",155
전북 남원시,"81,819",109
전북 무주군,"24,326",39
전북 부안군,"53,622",109
전북 순창군,"28,626",58
전북 완주군,"92,872",113
전북 익산시,"289,392",571
전북 임실군,"28,594",47
전북 장수군,"22,617",42
전북 전주시,"654,233","3,183"
전북 정읍시,"111,026",160
전북 진안군,"25,710",33
충남 계룡시,"43,358",714
충남 공주시,"106,931",124
충남 금산군,"52,630",91
충남 논산시,"119,574",216
충남 당진시,"167,208",237
충남 보령시,"101,282",178
충남 부여군,"67,206",108
충남 서산시,"174,377",235
충남 서천군,"53,125",148
충남 아산시,"313,898",579
충남 예산군,"79,594",147
충남 천안시,"651,913","1,025"
충남 청양군,"31,400",66
충남 태안군,"63,035",122
충남 홍성군,"100,790",234
충북 괴산군,"38,520",45
충북 단양군,"29,928",38
충북 보은군,"33,177",57
충북 영동군,"48,931",58
충북 옥천군,"51,196",95
충북 음성군,"95,278",183
충북 제천시,"135,057",153
충북 증평군,"37,487",458
충북 진천군,"80,731",198
충북 청주시,"839,347",893
충북 충주시,"210,410",214
