연도,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,입학정원,지원자,입학자
2017,대학교,강릉원주대학교,기존,본교,강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,1344 ,7020 ,1431 
2017,대학교,강릉원주대학교,기존,제2캠퍼스,강원,강원 원주시,국립,주간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-760-8114,033-760-8059,www.gwnu.ac.kr,489 ,3354 ,517 
2017,일반대학원,강릉원주대학교대학원,기존,본교,강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-2077,,www.gwnu.ac.kr,159 ,202 ,166 
2017,일반대학원,강릉원주대학교대학원,기존,제2캠퍼스,강원,강원 원주시,국립,주간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2077,,www.gwnu.ac.kr,38 ,45 ,32 
2017,특수대학원,강릉원주대학교경영정책과학대학원,기존,본교,강원,강원 강릉시,국립,야간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-2081,,www.gwnu.ac.kr,29 ,9 ,9 
2017,특수대학원,강릉원주대학교경영정책과학대학원,기존,제2캠퍼스,강원,강원 원주시,국립,야간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2081,,www.gwnu.ac.kr,12 ,3 ,3 
2017,특수대학원,강릉원주대학교교육대학원,기존,본교,강원,강원 강릉시,국립,야간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-2087,,www.gwnu.ac.kr,95 ,78 ,52 
2017,특수대학원,강릉원주대학교교육대학원,기존,제2캠퍼스,강원,강원 원주시,국립,야간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2087,,www.gwnu.ac.kr,17 ,23 ,14 
2017,특수대학원,강릉원주대학교산업대학원,기존,본교,강원,강원 강릉시,국립,야간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교치과병원)",25457,033-640-2085,,www.gwnu.ac.kr,21 ,16 ,13 
2017,특수대학원,강릉원주대학교산업대학원,기존,제2캠퍼스,강원,강원 원주시,국립,야간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2085,,www.gwnu.ac.kr,13 ,12 ,11 
2017,대학교,강원대학교,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6114,033-251-9556,www.kangwon.ac.kr/,2958 ,24482 ,3161 
2017,대학교,강원대학교,기존,제2캠퍼스,강원,강원 삼척시,국립,주간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",25913,033-570-6114,033-572-8620,samcheok.kangwon.ac.kr/,1529 ,7971 ,1616 
2017,일반대학원,강원대학교일반대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-8891,033-259-5527,graduate.kangwon.ac.kr/index.php,841 ,1055 ,808 
2017,특수대학원,강원대학교 경영대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6100,033-259-5530,gsba.kangwon.ac.kr/,57 ,29 ,25 
2017,특수대학원,강원대학교교육대학원,기존,본교,강원,강원 춘천시,국립,야간+계절제,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6609,033-259-5590,edugradu.kangwon.ac.kr/,200 ,168 ,101 
2017,특수대학원,강원대학교 산업과학대학원,기존,제2캠퍼스,강원,강원 삼척시,국립,야간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",25913,033-570-6502,033-570-6501,college.kangwon.ac.kr/industry/main.jsp,46 ,58 ,48 
2017,특수대학원,강원대학교산업대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6209,033-256-3566,gsi.kangwon.ac.kr/,62 ,25 ,17 
2017,전문대학원,강원대학교법학전문대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6510,033-259-5683,law.kangwon.ac.kr/,40 ,229 ,45 
2017,전문대학원,강원대학교 의학전문대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-8802,033-259-5635,smed.kangwon.ac.kr/smed/index.html,49 ,864 ,49 
2017,특수대학원,강원대학교 정보과학ㆍ행정대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6809,033-259-5605,information.kangwon.ac.kr/,85 ,48 ,36 
